ID,Cropland
ID_KQMQHY,0
ID_KSCNQH,0
ID_KSHCJN,1
ID_KTOPFF,0
ID_KWUQUC,1
ID_KXITDZ,0
ID_KXPSWT,0
ID_KYVPUL,1
ID_KZZAPX,1
ID_LAIRKE,0
ID_LCXPAN,0
ID_LDMQCK,0
ID_LFGVIP,0
ID_LFILKC,1
ID_LFOSFI,1
ID_LGMFOY,0
ID_LHAUQG,1
ID_LIESOG,1
ID_LJMOJG,0
ID_LKRGLH,1
ID_LMFPIS,0
ID_LPRMLF,1
ID_LRIWUQ,0
ID_LRJBNF,0
ID_LRJDXB,0
ID_LURZPY,0
ID_LWUQNK,0
ID_LYFLJA,0
ID_LYWGNE,1
ID_LZQVGX,1
ID_MAYEXE,1
ID_MBBYXO,0
ID_MCBLIG,0
ID_MCEBHU,0
ID_MCXSNX,0
ID_MDOIOO,1
ID_MDQAKO,1
ID_MDSQHR,1
ID_MFKBJZ,1
ID_MFYIAR,0
ID_MGZBFQ,1
ID_MHVIOA,0
ID_MKRMXB,1
ID_MLEBYM,0
ID_MLPNIP,0
ID_MMAOAN,0
ID_MMLSIH,1
ID_MNRFGT,0
ID_MPGKLQ,1
ID_MTCPQK,1
ID_MUCFRH,0
ID_MUFXTG,0
ID_MURHBB,1
ID_MVXJKO,0
ID_MWIYAY,0
ID_MWPYBX,1
ID_MXUECN,0
ID_MZUUPS,1
ID_MZYRUI,1
ID_NAQLSQ,0
ID_NDFPCN,0
ID_NEGLLN,0
ID_NFRYJB,0
ID_NGMBZS,0
ID_NIACKZ,0
ID_NIEXIJ,0
ID_NKZXTH,1
ID_NMLTGW,0
ID_NMRKVM,1
ID_NQBKSC,0
ID_NQCTRJ,0
ID_NQDAJP,0
ID_NQUUZU,0
ID_NSCRGI,1
ID_NSHVJR,1
ID_NTEFMS,1
ID_NTHZRD,0
ID_NTVBZQ,0
ID_NVHHPZ,1
ID_NWJHBW,1
ID_NWLWST,0
ID_NXVGVM,1
ID_OACPQH,0
ID_OBHDFX,0
ID_OCHNIK,0
ID_OCZXLD,0
ID_ODGFQX,0
ID_OESFNU,1
ID_OHZDTP,0
ID_OKEJTQ,0
ID_OLZGGI,1
ID_OMIRBC,0
ID_OMYWMF,1
ID_OOSKCA,0
ID_OPCIZS,0
ID_OQBAWY,0
ID_OQQWQD,0
ID_OSEHZP,0
ID_OTBPNW,0
ID_OUECWQ,0
ID_OZJKED,1
ID_PAGUHZ,1
ID_PEQQVD,0
ID_PFCHYI,0
ID_PFPKSF,1
ID_PFRFCV,0
ID_PITMNM,0
ID_PMNLTI,0
ID_POIDJR,0
ID_POLKUP,0
ID_POROYM,1
ID_PPPJVQ,0
ID_PSBXIG,0
ID_PSDKPW,1
ID_PWETSO,0
ID_PWWLNL,0
ID_QAHFTR,0
ID_QAHTET,1
ID_QARKJO,0
ID_QBZRKT,1
ID_QEWWWB,1
ID_QGMXVC,1
ID_QILPTC,1
ID_QIVTRF,0
ID_QJJFGY,1
ID_QKZJWX,0
ID_QKZNYC,1
ID_QLJJGM,1
ID_QPESEJ,1
ID_QPGVAB,1
ID_QUIIVW,1
ID_QUQTYF,0
ID_QVRBSS,1
ID_QXLGGB,1
ID_RAAUGI,0
ID_RATUCL,0
ID_RAYCAI,0
ID_RBKPAH,0
ID_RCZBNN,0
ID_REJLQW,0
ID_RGVXBZ,1
ID_RGVZQM,1
ID_RGZAKL,1
ID_RHBTMQ,0
ID_RHPDVC,0
ID_RHRMLH,0
ID_RKVOZB,0
ID_RNGQCL,1
ID_RPVYCG,0
ID_RRCQUS,0
ID_RSPVOV,0
ID_RSRVQX,0
ID_RTBPMX,1
ID_RTKVGS,0
ID_RTYKTE,1
ID_RVKCNR,0
ID_RVZDXC,1
ID_RVZMAN,0
ID_RWRHNN,1
ID_RYDMNB,1
ID_RYDPUA,1
ID_RYJTON,0
ID_RYLOQX,0
ID_SAMDFR,0
ID_SBKOKF,0
ID_SBYEKP,1
ID_SCGGZH,1
ID_SCPVOI,0
ID_SCTFIV,0
ID_SDCCFF,0
ID_SDQPGR,0
ID_SDWMWO,0
ID_SHGDFD,0
ID_SIDJPE,0
ID_SIPNKO,1
ID_SKCEGV,1
ID_SKREMZ,0
ID_SLHSVU,0
ID_SLRYUQ,0
ID_SLTZHV,0
ID_SNZBLV,1
ID_SOZCVT,0
ID_SQEDFF,1
ID_SRXWIP,1
ID_SRZCKI,1
ID_STEPTC,0
ID_SWQTSF,1
ID_SXVIAP,0
ID_SYOOEZ,1
ID_SYUFPE,0
ID_TBDFIR,0
ID_TCJOBA,0
ID_TCLHRM,0
ID_TDMOGW,1
ID_TEJUWI,1
ID_TFKIJS,0
ID_TFOYLS,0
ID_TGMUDA,0
ID_THBXYM,1
ID_THSWSY,1
ID_TLNIVM,0
ID_TNQHCH,0
ID_TOLABW,0
ID_TOOZRI,0
ID_TOUNAI,1
ID_TOXCPP,1
ID_TPEJQA,0
ID_TPJZID,1
ID_TRHKEO,0
ID_TRJBRI,0
ID_TVBCWE,0
ID_TWSZPJ,0
ID_TWZDJO,0
ID_TXXAVH,1
ID_TYUABG,0
ID_UAOYKY,1
ID_UBTSVK,1
ID_UBZMKN,0
ID_UECLLM,1
ID_UFNLLW,0
ID_UGDOBT,1
ID_UHBSOC,1
ID_UJLJNI,0
ID_ULDWLA,0
ID_UMTTLY,0
ID_UNCNYB,0
ID_UOCBEQ,0
ID_UOTEWX,1
ID_UPRRSR,0
ID_UQBCRH,1
ID_UREJJA,1
ID_URQDTE,0
ID_USKVTP,1
ID_USNZJO,0
ID_USQSPE,0
ID_USTIHB,1
ID_UTIBOV,0
ID_UTICZD,1
ID_UWNLZB,0
ID_VAUSIE,0
ID_VBEHTO,0
ID_VCCTVO,0
ID_VCWGMP,0
ID_VCWQRE,0
ID_VGKJKO,0
ID_VGPNKI,0
ID_VGUCWW,1
ID_VHHSPI,1
ID_VHRYDD,1
ID_VICGJN,1
ID_VJQPHC,0
ID_VJYZMH,0
ID_VKBQBD,0
ID_VKNWMW,0
ID_VKTWAF,0
ID_VLNLBM,0
ID_VMSNHV,1
ID_VNCRED,1
ID_VNEIND,1
ID_VPQAYV,0
ID_VQWPSB,0
ID_VSDSLA,0
ID_VSHPCD,0
ID_VSPZRA,1
ID_VTRNQL,0
ID_VWAITD,0
ID_VXHKDY,1
ID_VZCAIR,0
ID_VZDVJQ,1
ID_WAQGHK,1
ID_WBCLLP,1
ID_WCLSCO,1
ID_WCNHYJ,0
ID_WCSEGR,0
ID_WGELKH,1
ID_WGMJDY,0
ID_WGNBZR,0
ID_WGSVTR,0
ID_WHTHXD,0
ID_WIRKXL,0
ID_WLRQPA,0
ID_WMFZIQ,0
ID_WMIMCG,0
ID_WMJOCM,1
ID_WOKDQA,0
ID_WOXTKI,0
ID_WPNMOU,0
ID_WQREBV,1
ID_WVCYQV,0
ID_WWAFVV,0
ID_WWHUKY,0
ID_WYCMBT,0
ID_XBKKIH,1
ID_XCCDEN,0
ID_XCKAFN,0
ID_XCONSY,0
ID_XEPQMC,0
ID_XEUZYB,1
ID_XEWEXZ,0
ID_XHDTXU,1
ID_XJSVVG,0
ID_XLCRVI,0
ID_XLDXVI,0
ID_XLVQIM,0
ID_XOVPDD,1
ID_XPSNVO,0
ID_XQHOAH,1
ID_XRNVVW,0
ID_XROUJX,1
ID_XTMGGQ,0
ID_XUWWYJ,0
ID_XVGQOD,0
ID_XVRDCN,1
ID_XWHQPD,1
ID_XZIXJE,1
ID_YAKTTZ,1
ID_YARWSC,0
ID_YDWOJR,0
ID_YFRDQE,0
ID_YHRGJX,1
ID_YIAUTT,1
ID_YICCWP,0
ID_YIJUVR,0
ID_YKCHDE,1
ID_YKLUSC,0
ID_YKSBRQ,0
ID_YQUNDF,0
ID_YUHHSJ,0
ID_YUYQEZ,0
ID_YVMNXE,1
ID_YVQUDH,0
ID_YXKFSD,1
ID_ZCCDVB,0
ID_ZDIYFI,0
ID_ZDZMGP,0
ID_ZEZGCL,0
ID_ZFOYDT,1
ID_ZFRWQW,0
ID_ZGEEOY,0
ID_ZGKKAS,1
ID_ZGOJXN,0
ID_ZHNSBE,1
ID_ZHQPTY,0
ID_ZHZRHO,0
ID_ZJAFJA,0
ID_ZKUIYT,0
ID_ZLAGNN,0
ID_ZLVHKQ,0
ID_ZMMYNU,0
ID_ZNHCFF,0
ID_ZNTZZC,0
ID_ZNZWAS,0
ID_ZOKMQZ,1
ID_ZOMDIL,0
ID_ZPUSRA,0
ID_ZQLNDF,1
ID_ZQORVU,1
ID_ZUGVPJ,0
ID_ZUXZWD,1
ID_ZVZYWE,1
ID_ZWQRGK,0
ID_ZWSZZU,1
ID_ZYBQJU,0
ID_ZZHSMO,0
ID_ZZLDKS,1
ID_ZZVDLZ,1
